id,date,expo,side,condition
88d45f6c7108461d8973fad27207e70d,2019-05-15 17:11:00,MSW,left,AVAS
54d78ac6fb7b4b04bf067637bc675ac5,2019-05-15 17:13:00,MSW,right,AVAS
d498b4920722459aa9f19cc9daddcaba,2019-05-15 17:22:00,MSW,left,TaxiDriver
9df7365573984862b4eebfe7fff12a2d,2019-05-15 17:25:00,MSW,left,AVAS
780225351a0840a8ac763843d2128bf8,2019-05-15 17:26:00,MSW,right,TaxiDriver
941772a619bd462f8295e569c7364992,2019-05-15 17:29:00,MSW,right,AVAS
b8da24d5e9aa4b5f9430612ed6a7eaaf,2019-05-15 17:29:00,MSW,left,RadioTalk
3a16b0b78b1447cc8b1fad9656ef0d51,2019-05-15 17:39:00,MSW,left,TaxiDriver
5df9af209a8843889ce4425034e1c3dc,2019-05-15 18:00:00,MSW,right,RadioTalk
3b0e12c1efe444959e5e2b1b016e38ad,2019-05-15 18:01:00,MSW,left,RadioTalk
e60c5e9e8d084a0f9ffcbd5c5ef02674,2019-05-15 18:14:00,MSW,right,RadioTalk
c021bb644aa64bcb918533ca78e2c818,2019-05-15 18:14:00,MSW,left,AVAS
df8f1f0ad5d9421897a6db20c0c7defc,2019-05-15 18:17:00,MSW,left,RadioTalk
86e026b7412140bc94beb371cce70672,2019-05-15 18:20:00,MSW,right,TaxiDriver
de6aa7977a2a4cf7b1d3332a17d3d4ac,2019-05-15 18:21:00,MSW,left,RadioTalk
75a66024e2c842a1829747ed8c93be73,2019-05-15 18:24:00,MSW,right,RadioTalk
ed22be7e7d264c719e661562fab0c927,2019-05-15 18:25:00,MSW,left,RadioTalk
8a2f999c2d4c4b86b5e948b575edefb5,2019-05-15 18:43:00,MSW,right,RadioTalk
320e57920da84e039c4ab62ccf19de6d,2019-05-15 18:46:00,MSW,right,RadioTalk
2bd4da61824e43e4850e463a0213edea,2019-05-15 18:51:00,MSW,right,TaxiDriver
206973e6e2054e548199e7d5452950cc,2019-05-15 18:52:00,MSW,left,TaxiDriver
11f96fa3d5744a6eb19ea970c36d2479,2019-05-15 18:54:00,MSW,right,AVAS
755d125dd45d441f8be9a61a44e1f103,2019-05-15 18:55:00,MSW,left,TaxiDriver
dcd7eba72ffb4d0b88dbf6a029d3608c,2019-05-15 18:57:00,MSW,right,AVAS
ed360e87202b44f48567f2a7caf17f60,2019-05-15 18:58:00,MSW,left,RadioTalk
05a4e672b9304dbb8b4aab2775834de9,2019-05-15 19:11:00,MSW,left,TaxiDriver
4f616a73be4f4f3dbc8b41b72d45d154,2019-05-15 19:20:00,MSW,left,TaxiDriver
2dbc75f500024f96b4f4fa462fd58210,2019-05-15 19:20:00,MSW,right,TaxiDriver
c0b97accae414ba29f95d0094ecaf138,2019-05-15 19:24:00,MSW,left,AVAS
9b4ead458b8a40b1a4b6ecc15a43e24b,2019-05-15 19:27:00,MSW,right,AVAS
