id,created,expo,side
6257ae75027d47cebe39674219b9462d,12.08.2019 11:24,BMBF,left
056909de362f4ae9a377809cf15f2960,12.08.2019 11:52,BMBF,left
6482764330f1478db8fea058d3933813,12.08.2019 14:35,BMBF,left
0aed3a9c4a9b4507978790160d10b6fb,12.11.2019 09:51,BMBF,left
c3942b4f034148ea90dc17e89768c884,12.11.2019 10:58,BMBF,left
ef29506b5ed64f6e95d60b5b662ca387,12.11.2019 11:00,BMBF,left
6294c39d9aee461b8d4f532dee95fdfb,12.11.2019 11:02,BMBF,left
b048fcd4b5d8443ab0f37019ed5377d6,12.11.2019 11:05,BMBF,left
bb7ac73e9df849f3a9fb653e4664f79a,12.11.2019 11:08,BMBF,left
b0e55b75a08b480d993889ac97dc2dad,12.11.2019 11:10,BMBF,left
bd0d22490a66400195583348025731a0,12.11.2019 11:13,BMBF,left
d63900811cd040189cb34ea79523a007,12.11.2019 11:16,BMBF,left
fa31c726eba144a9a8a111a2a2e073b8,12.11.2019 11:18,BMBF,left
80c46477bb8e4c4daac42f30b157ca2a,12.11.2019 11:23,BMBF,left
360de9d612ac46d6b615a77c5c878ec9,12.11.2019 11:31,BMBF,left
bb6829ceffe248c099df27fca29a2a71,12.11.2019 11:37,BMBF,left
d02944897f57482a995aa65c494a1132,12.11.2019 11:40,BMBF,left
b01b0b4637594f67ba41016eb771c83a,12.11.2019 11:44,BMBF,left
6bbefbc285914821b827bbce423f95f8,12.11.2019 11:49,BMBF,left
ad66e142494d441ebf9f04a142f3f37c,12.11.2019 12:16,BMBF,left
041e575c0bbb4add82324935ebc25676,12.11.2019 13:50,BMBF,left
3c629546c8fa489ca34c2ef9717a4d69,12.11.2019 13:52,BMBF,left
19db99708e46473c81cff31f4e8c5bed,12.11.2019 13:54,BMBF,left
2e99f24c303d48ffad0fb35760b682ac,12.11.2019 13:56,BMBF,left
6e13444e0eb14c9e82507a99ef916d6f,12.11.2019 15:30,BMBF,left
fd6341754e8f45d1a4a8e2c12a884b5d,12.12.2019 09:56,BMBF,left
da800a589b6145ab824dd1cb376d9a90,12.12.2019 10:13,BMBF,left
51c47214493b4fe79caf63ec9836a6d4,12.12.2019 10:17,BMBF,left
960e36520e8b41be823b95c9c12b50c0,13.08.2019 13:12,BMBF,left
ae8621ba2cc04d10b601a611f6dfd7b9,13.08.2019 13:17,BMBF,left
dd8c37925b6e4a1bb8020521c007e50c,13.08.2019 15:43,BMBF,left
d2ccee3b1f0d46cf9f0a30cf89954904,13.09.2019 09:21,BMBF,left
ffab117097734cf7a06852f0beab0cc2,13.09.2019 09:24,BMBF,left
c50927ef746e42918a7e0208613f55f3,13.09.2019 09:58,BMBF,left
a69fdc72a3c24096bd8e8428129e1b11,13.09.2019 13:46,BMBF,left
e2c1692e13694f4fba27daefa7c1af4a,13.09.2019 14:29,BMBF,left
76973cb1226d433c92cee2b401d5644a,13.09.2019 14:38,BMBF,left
af9e0fa97dea4ef1b19bac3582887c59,13.09.2019 14:42,BMBF,left
a9c5af15426c4422a9cd1b255a4d148e,13.09.2019 16:50,BMBF,left
520dec4335374001a30ee27113927963,13.11.2019 08:41,BMBF,left
c3d8d4bb705c4a4399e3e31609f464ef,13.11.2019 10:05,BMBF,left
c8a68e3f99604c1e9047a21f52dd2289,13.11.2019 10:07,BMBF,left
12364b71617649ae9e7ec4076a9b1a7b,13.11.2019 10:10,BMBF,left
6919c7b5752440bb89347a13c93b577f,13.11.2019 10:16,BMBF,left
0d0c1130c8d54784a2e07b0a308b6f4a,13.11.2019 11:24,BMBF,left
fd76b48c4c1c4501b51ae9dc0fa93da1,13.11.2019 11:27,BMBF,left
6da4e8022b89428dbc3bc0d092769dd1,13.11.2019 11:30,BMBF,left
a4fc00e8d889435ca483ccc7ecab6f91,13.11.2019 11:32,BMBF,left
