id,condition,2std,1std
630acc949a3b45f9b7b36d43da0fc5ca,AVAS,False,True
e9241caf5d19496c93d7af82565351f2,TaxiDriver,False,False
c1243b6190d24e2f96ee943a5dfd98e9,RadioTalk,False,False
d9b162d1164b4ae4b93ca37c080068cf,RadioTalk,False,False
967d9398106f4a8f93e5faf34b814103,RadioTalk,False,True
9609ece37f614ab1a6483ce7a9af134d,TaxiDriver,False,False
7c84c109e61e495488933defff769050,TaxiDriver,False,False
c155a6a20dae4b5bbcf07bad1e6f4ac2,RadioTalk,False,False
b15b51d5e4c347b384c7c32ab2430e29,TaxiDriver,False,False
ea065c5303f045ed8a56d3dd72f29566,TaxiDriver,False,False
c12c16908d6246d296462570be3e68a2,TaxiDriver,False,False
c7277721202743aa9151a6054f9532ff,AVAS,False,False
1523527e43d34646ad7cb30c312f63f0,TaxiDriver,False,False
c02c61bd606541a89d1c506088047952,TaxiDriver,False,False
3c202bd7fad14f4da6e08997c48a6a26,RadioTalk,False,False
3a2ba03da7ec45c89f58855172d2e361,RadioTalk,False,False
48f4080dedb347b89ea4c1625e860035,RadioTalk,False,False
296fff5a4807453280a506285409f412,AVAS,False,False
cf8584d07f8e4c42b903e20a24e09324,RadioTalk,False,False
ec753b16c7cd444084346f4c43ae5b6a,RadioTalk,False,False
64638f880779430280259b35f84cb7be,RadioTalk,False,False
46f8488cb75340c6b227b814a852ad2b,RadioTalk,False,False
07d662e78cbb49dba64cd68a4d4c968b,RadioTalk,False,False
d81b6bacd41b4c41bf4f9305de82ba91,RadioTalk,False,False
d2c886cb65e04e3892baa9a57a8eee9b,TaxiDriver,False,False
28abedf00cc0484fa4ac3b0918b07f37,AVAS,False,True
6dace01fcecb4a3593cec1d7139b2d2b,TaxiDriver,False,False
fa64d8fa953444ada816b5f428d9716d,AVAS,False,False
c65757bdec50459d92de2ae415926955,RadioTalk,False,False
6e8a0f721f5048d8a5837cd43a08a9a2,RadioTalk,False,False
2c7507b144804e958800f53e6f14303f,AVAS,False,False
